file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty, ,plan_outlining,outline,planning
../codelingua/segment_trees/qwq_level1_Python_C/qid_codeforces_598_A.json,14,2,12,10,1.08,2,1,1,0.7142857142857143,1.2,incorrect,13,471.6923076923077,1362.0,81.0,383.3204457142407,5,5,1,0,1,0,0,1.0,,,
../codelingua/segment_trees/qwq_level1_Python_C/qid_codeforces_583_B.json,81,15,66,29,1.21,4,1,1,0.35802469135802467,2.2758620689655173,correct,80,411.425,1930.0,101.0,382.0689438414241,11,62,1,2,0,0,0,4.0,,,
../codelingua/segment_trees/qwq_level1_Python_C/qid_codeforces_106_B.json,44,7,37,25,1.16,3,1,1,0.5681818181818182,1.48,correct,43,447.4186046511628,2428.0,103.0,419.7889057132304,11,20,2,4,1,0,0,4.0,1.0,,
../codelingua/segment_trees/qwq_level1_Python_C/qid_codeforces_387_B.json,27,4,23,21,1.13,3,1,1,0.7777777777777778,1.0952380952380953,correct,26,384.3076923076923,1688.0,105.0,369.6154508924938,5,17,1,0,1,0,0,2.0,,,
../codelingua/segment_trees/qwq_level1_Python_C/qid_codeforces_11_A.json,21,2,19,16,1.05,2,1,1,0.7619047619047619,1.1875,correct,20,663.75,1739.0,16.0,507.24932881074113,6,12,0,0,0,0,1,1.0,,,
../codelingua/segment_trees/qwq_level1_Python_C/qid_codeforces_607_A.json,30,4,26,18,1.12,2,1,1,0.6,1.4444444444444444,correct,29,460.3448275862069,1722.0,104.0,373.9330799432728,9,16,1,0,2,0,0,1.0,,,
../codelingua/segment_trees/qwq_level1_Python_C/qid_codeforces_242_B.json,59,9,50,42,1.16,2,1,1,0.711864406779661,1.1904761904761905,correct,58,505.44827586206895,1232.0,114.0,334.50765980864986,9,42,0,2,3,0,0,2.0,,,
../codelingua/segment_trees/qwq_level1_Python_C/qid_atcoder_ABC123_B.json,48,10,38,28,1.24,4,1,1,0.5833333333333334,1.3571428571428572,correct,47,343.3191489361702,2158.0,103.0,393.3053966832003,4,33,4,0,1,0,0,4.0,1.0,,
../codelingua/segment_trees/qwq_level1_Python_C/qid_codeforces_342_B.json,56,9,47,40,1.17,2,1,1,0.7142857142857143,1.175,correct,55,520.3818181818182,2316.0,102.0,547.2640872054196,20,27,0,0,1,0,0,7.0,,,
../codelingua/segment_trees/qwq_level1_Python_C/qid_atcoder_ABC162_D.json,39,5,34,23,1.12,2,1,1,0.5897435897435898,1.4782608695652173,incorrect,38,548.0526315789474,5466.0,105.0,871.4431630027509,10,19,1,2,4,0,0,2.0,,,
