file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_617_B___atcoder_ABC158_A.json,112,37,75,42,1.48,5,1,1,0.375,1.7857142857142858,correct,111,169.56756756756758,754.0,32.0,144.91543751265436,41,22,5,8,7,25,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC172_D___atcoder_ABC151_A.json,71,21,50,20,1.4,3,1,1,0.28169014084507044,2.5,incorrect,70,154.9857142857143,900.0,30.0,128.8490289320365,29,13,0,1,11,16,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC165_C___atcoder_ABC132_A.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC147_D___codeforces_58_B.json,111,41,70,29,1.57,5,1,1,0.26126126126126126,2.413793103448276,incorrect,110,176.79090909090908,943.0,30.0,166.5623334543902,47,19,2,8,9,22,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC154_A___atcoder_ABC136_B.json,156,50,106,57,1.46,4,1,1,0.36538461538461536,1.8596491228070176,incorrect,155,189.6,1487.0,30.0,181.3622907869233,60,22,9,10,20,27,7
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_272_B___atcoder_ABC178_A.json,108,40,68,22,1.57,6,1,1,0.2037037037037037,3.090909090909091,incorrect,107,180.6728971962617,907.0,35.0,176.73686739399915,52,5,4,4,13,29,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_400_B___atcoder_ABC051_A.json,212,84,128,52,1.65,5,1,1,0.24528301886792453,2.4615384615384617,incorrect,211,138.44549763033174,1141.0,31.0,139.48555349710608,86,21,6,2,11,75,10
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_86_A___atcoder_ABC164_D.json,161,60,101,43,1.58,6,1,1,0.2670807453416149,2.3488372093023258,incorrect,160,160.93125,2056.0,30.0,220.76405692190102,77,12,0,5,15,49,2
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_189_A___atcoder_ABC164_D.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_8_B___codeforces_32_B.json,152,51,101,47,1.5,4,1,1,0.3092105263157895,2.148936170212766,correct,151,164.841059602649,1823.0,30.0,215.0999176418634,40,70,2,4,6,26,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_369_B___codeforces_49_A.json,166,56,110,50,1.5,4,1,1,0.30120481927710846,2.2,correct,165,183.72727272727272,1127.0,33.0,182.61275713579306,83,10,1,4,14,51,2
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_148_B___atcoder_ABC178_A.json,67,26,41,19,1.61,6,1,1,0.2835820895522388,2.1578947368421053,correct,66,169.53030303030303,737.0,32.0,158.91034915196389,27,11,2,2,11,11,2
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC139_B___codeforces_622_A.json,66,21,45,16,1.44,6,1,1,0.24242424242424243,2.8125,correct,65,246.6153846153846,1009.0,34.0,251.669158588444,24,16,3,2,2,18,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC174_E___atcoder_ABC172_D.json,67,21,46,21,1.43,4,1,1,0.31343283582089554,2.1904761904761907,incorrect,66,178.66666666666666,969.0,35.0,196.49484889183645,31,3,2,1,7,21,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_421_A___codeforces_579_A.json,174,71,103,33,1.68,9,1,1,0.1896551724137931,3.121212121212121,correct,173,153.17341040462426,1300.0,30.0,164.27403363311018,60,50,1,7,1,37,17
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_92_A___atcoder_ARC062_B.json,129,50,79,30,1.62,5,1,1,0.23255813953488372,2.6333333333333333,incorrect,128,233.71875,1484.0,32.0,240.2816895943815,38,38,0,4,8,35,5
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC089_C___atcoder_ABC151_A.json,105,31,74,53,1.41,6,1,1,0.5047619047619047,1.3962264150943395,correct,104,187.70192307692307,1504.0,33.0,227.84230110105355,34,24,2,2,10,29,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_AGC028_A___atcoder_ABC155_E.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC151_A___atcoder_ABC155_E.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC150_D___atcoder_ABC136_B.json,120,36,84,39,1.42,4,1,1,0.325,2.1538461538461537,incorrect,119,189.92436974789916,1825.0,30.0,250.61933994331892,48,12,4,0,11,42,2
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC145_B___codeforces_276_B.json,142,48,94,38,1.5,4,1,1,0.2676056338028169,2.473684210526316,incorrect,141,198.27659574468086,1100.0,33.0,191.69052835916014,65,30,4,7,6,27,2
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_350_B___atcoder_AGC005_B.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC151_A___atcoder_ABC170_A.json,193,66,127,37,1.51,4,1,1,0.19170984455958548,3.4324324324324325,incorrect,192,185.57291666666666,857.0,31.0,149.29536028613498,30,106,0,8,4,21,23
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_612_B___atcoder_ABC149_C.json,96,32,64,37,1.48,3,1,1,0.3854166666666667,1.7297297297297298,incorrect,95,198.49473684210525,1066.0,30.0,199.58035088997661,40,20,1,3,9,20,2
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_579_A___codeforces_96_B.json,165,55,110,53,1.49,5,1,1,0.3212121212121212,2.0754716981132075,incorrect,164,214.21951219512195,2367.0,30.0,280.0806204876851,62,27,7,4,8,52,4
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_581_A___atcoder_ABC174_C.json,214,94,120,48,1.77,7,1,1,0.22429906542056074,2.5,correct,213,158.12206572769952,857.0,31.0,137.48805825143643,81,43,6,12,2,58,11
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC139_B___codeforces_669_A.json,43,15,28,20,1.5,4,1,1,0.46511627906976744,1.4,correct,42,213.52380952380952,718.0,31.0,200.56447635455652,15,8,1,0,6,11,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_354_A___atcoder_ABC136_B.json,80,26,54,22,1.46,10,1,1,0.275,2.4545454545454546,incorrect,79,217.2405063291139,1505.0,31.0,281.99900959954624,36,4,0,1,8,30,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_58_B___atcoder_ABC158_A.json,189,75,114,61,1.65,6,1,1,0.32275132275132273,1.8688524590163935,incorrect,188,208.36170212765958,1041.0,30.0,196.15888196721394,81,34,3,10,12,43,5
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC118_C___atcoder_ABC129_E.json,284,94,190,56,1.49,4,1,1,0.19718309859154928,3.392857142857143,incorrect,283,152.3427561837456,1395.0,30.0,151.93239622800064,144,29,2,6,10,83,9
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC104_C___codeforces_678_B.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_AGC013_A___codeforces_8_B.json,219,85,134,58,1.63,5,1,1,0.2648401826484018,2.310344827586207,incorrect,218,188.59633027522935,1641.0,30.0,234.42281778442944,71,58,1,10,7,52,19
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_651_A___atcoder_ABC114_C.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_231_A___codeforces_147_A.json,141,48,93,62,1.51,6,1,1,0.4397163120567376,1.5,incorrect,140,165.4857142857143,1578.0,31.0,211.44261210010708,49,32,6,5,9,34,5
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC166_C___atcoder_ABC169_D.json,127,41,86,49,1.47,5,1,1,0.3858267716535433,1.7551020408163265,incorrect,126,177.88095238095238,778.0,31.0,173.0470274644604,59,18,2,3,11,29,4
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_67_B___codeforces_276_B.json,203,72,131,46,1.54,5,1,1,0.22660098522167488,2.847826086956522,incorrect,202,187.05940594059405,1038.0,30.0,176.91169463084623,88,27,2,10,14,57,4
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC133_B___atcoder_ABC124_C.json,198,88,110,44,1.79,7,1,1,0.2222222222222222,2.5,incorrect,197,161.43147208121826,715.0,31.0,127.27233224654518,73,13,2,17,7,80,5
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC107_D___atcoder_ABC129_E.json,226,78,148,45,1.52,6,1,1,0.19911504424778761,3.2888888888888888,incorrect,225,158.8311111111111,1201.0,30.0,163.5059738727105,105,10,1,8,13,82,6
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_583_B___atcoder_ABC174_C.json,85,32,53,19,1.58,9,1,1,0.2235294117647059,2.789473684210526,correct,84,182.52380952380952,1127.0,30.0,192.57697420133488,48,13,0,1,2,20,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC178_A___atcoder_ABC155_E.json,242,86,156,52,1.54,8,1,1,0.21487603305785125,3.0,incorrect,241,147.00414937759336,1298.0,30.0,147.88868274046843,98,64,1,19,18,36,5
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_25_A___atcoder_AGC025_A.json,89,32,57,24,1.54,4,1,1,0.2696629213483146,2.375,incorrect,88,250.47727272727272,1734.0,31.0,337.76591830658106,36,18,2,8,3,19,2
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC129_E___codeforces_622_A.json,134,48,86,37,1.55,7,1,1,0.27611940298507465,2.324324324324324,correct,133,211.9624060150376,1931.0,31.0,282.1015400153209,49,15,1,4,19,42,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_AGC028_A___atcoder_ABC120_C.json,144,48,96,47,1.49,5,1,1,0.3263888888888889,2.0425531914893615,incorrect,143,169.6083916083916,1180.0,30.0,173.68329745951092,55,27,3,3,13,42,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC128_C___atcoder_ABC120_C.json,143,60,83,38,1.71,5,1,1,0.26573426573426573,2.1842105263157894,incorrect,142,236.57042253521126,1694.0,39.0,279.2947145197801,59,20,0,5,16,38,4
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_632_B___codeforces_514_A.json,114,40,74,27,1.53,4,1,1,0.23684210526315788,2.740740740740741,incorrect,113,230.1769911504425,1500.0,32.0,253.713605063736,59,5,0,7,9,30,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_AGC028_B___atcoder_ABC124_C.json,192,68,124,43,1.54,5,1,1,0.22395833333333334,2.883720930232558,incorrect,191,175.47120418848166,1613.0,30.0,206.91805639231652,71,23,2,5,34,52,4
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC135_D___codeforces_8_B.json,279,112,167,38,1.66,5,1,1,0.13620071684587814,4.394736842105263,incorrect,278,154.07553956834533,2620.0,30.0,207.4090763662335,82,31,8,21,14,107,15
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_287_A___atcoder_ABC051_A.json,175,63,112,34,1.55,6,1,1,0.19428571428571428,3.2941176470588234,incorrect,174,176.95402298850576,1195.0,30.0,174.8344490628141,66,30,9,10,15,42,2
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_23_B___atcoder_ABC172_D.json,99,41,58,30,1.69,6,1,1,0.30303030303030304,1.9333333333333333,correct,98,229.08163265306123,1166.0,32.0,229.12206594403253,35,16,0,4,7,29,7
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC114_C___atcoder_ABC155_E.json,208,83,125,35,1.66,5,1,1,0.16826923076923078,3.5714285714285716,incorrect,207,195.47342995169083,1506.0,31.0,222.31989114639148,82,46,0,11,10,55,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_327_A___atcoder_ABC051_A.json,148,50,98,71,1.5,4,1,1,0.4797297297297297,1.380281690140845,correct,147,172.17006802721087,1329.0,31.0,193.61037608578096,51,30,6,4,8,47,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_514_A___atcoder_ABC155_E.json,195,67,128,40,1.52,6,1,1,0.20512820512820512,3.2,incorrect,194,213.86082474226805,1647.0,30.0,240.70612058781438,78,37,5,18,14,38,4
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_665_A___atcoder_AGC025_A.json,76,23,53,32,1.42,3,1,1,0.42105263157894735,1.65625,incorrect,75,197.53333333333333,1622.0,31.0,250.10518507940537,27,14,2,1,5,26,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_624_B___codeforces_59_A.json,175,57,118,69,1.47,4,1,1,0.3942857142857143,1.710144927536232,incorrect,174,168.56896551724137,895.0,32.0,150.35912063609985,73,32,6,7,14,39,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC124_A___atcoder_ABC142_A.json,98,33,65,44,1.49,4,1,1,0.4489795918367347,1.4772727272727273,correct,97,154.41237113402062,645.0,32.0,116.81732111304167,33,30,0,2,14,15,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_AGC007_C___codeforces_147_A.json,255,89,166,46,1.53,6,1,1,0.1803921568627451,3.608695652173913,incorrect,254,146.4448818897638,1037.0,30.0,141.96813549328786,112,54,6,16,17,43,6
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC153_A___atcoder_AGC034_B.json,120,44,76,44,1.57,5,1,1,0.36666666666666664,1.7272727272727273,incorrect,119,192.27731092436974,1597.0,30.0,218.0158571580714,45,20,5,5,4,36,4
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_514_A___atcoder_ABC158_A.json,217,78,139,58,1.55,5,1,1,0.2672811059907834,2.396551724137931,incorrect,216,199.05555555555554,1543.0,30.0,223.1345546018463,79,66,5,1,4,51,10
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_333_B___atcoder_ABC122_D.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC124_A___atcoder_ABC136_B.json,53,19,34,21,1.53,4,1,1,0.39622641509433965,1.619047619047619,correct,52,245.51923076923077,1128.0,36.0,266.35797012737777,19,10,1,1,9,11,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_147_A___atcoder_ABC170_A.json,196,65,131,49,1.49,6,1,1,0.25,2.673469387755102,incorrect,195,197.14871794871794,1288.0,31.0,213.63972331290324,88,46,4,4,9,42,2
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC126_E___atcoder_ABC114_C.json,222,78,144,49,1.53,5,1,1,0.22072072072072071,2.938775510204082,incorrect,221,174.18552036199094,1356.0,32.0,187.3630092732622,79,43,2,7,16,70,4
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_AGC029_C___codeforces_59_A.json,263,102,161,52,1.63,7,1,1,0.19771863117870722,3.0961538461538463,incorrect,262,180.56106870229007,2246.0,31.0,208.60272718469383,92,32,1,5,9,116,7
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_148_B___atcoder_AGC025_A.json,79,20,59,29,1.32,4,1,1,0.3670886075949367,2.0344827586206895,incorrect,78,234.69230769230768,874.0,36.0,212.75504527674377,31,18,1,1,9,17,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC178_A___atcoder_ABC169_D.json,124,40,84,18,1.46,4,1,1,0.14516129032258066,4.666666666666667,correct,123,151.4390243902439,675.0,32.0,120.873131317304,37,58,0,5,1,16,6
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_106_B___atcoder_ABC169_D.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC125_C___codeforces_622_A.json,91,23,68,35,1.32,4,1,1,0.38461538461538464,1.9428571428571428,incorrect,90,197.64444444444445,1128.0,32.0,209.31113935640562,31,9,1,1,12,35,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC169_D___atcoder_ABC136_B.json,80,28,52,21,1.52,4,1,1,0.2625,2.4761904761904763,incorrect,79,270.39240506329116,1516.0,32.0,311.39612902595087,36,18,2,1,5,16,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC111_C___atcoder_ABC155_E.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC051_A___atcoder_ABC170_A.json,117,39,78,26,1.49,4,1,1,0.2222222222222222,3.0,incorrect,116,144.06034482758622,793.0,31.0,141.5403638108442,36,13,2,2,8,52,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_350_B___atcoder_ABC111_C.json,233,86,147,40,1.58,6,1,1,0.17167381974248927,3.675,incorrect,232,199.96120689655172,3027.0,30.0,298.3904343346703,83,21,1,23,13,75,16
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_AGC027_B___codeforces_96_B.json,1,1,0,0,0.0,0,0,0,0.0,0.0,incorrect,0,,,,,0,0,0,0,0,0,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_92_A___atcoder_ABC124_C.json,193,64,129,42,1.49,6,1,1,0.21761658031088082,3.0714285714285716,incorrect,192,198.19270833333334,1156.0,31.0,190.41445386248108,53,82,4,3,5,40,5
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_354_A___atcoder_ABC158_A.json,128,60,68,26,1.87,8,1,1,0.203125,2.6153846153846154,correct,127,163.73228346456693,883.0,31.0,152.6459462347011,57,17,2,1,12,28,10
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC178_B___atcoder_ARC062_B.json,91,22,69,40,1.3,4,1,1,0.43956043956043955,1.725,correct,90,195.63333333333333,1070.0,30.0,188.47086920616098,30,27,2,1,7,22,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC104_C___atcoder_ABC155_E.json,185,61,124,36,1.48,5,1,1,0.1945945945945946,3.4444444444444446,incorrect,184,210.17934782608697,2190.0,30.0,258.3468363986058,83,20,1,13,19,42,6
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC114_C___atcoder_ABC149_C.json,214,74,140,69,1.52,4,1,1,0.32242990654205606,2.028985507246377,incorrect,213,195.98591549295776,1311.0,30.0,225.71303117498638,83,62,0,10,9,41,8
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_268_A___atcoder_ABC136_B.json,69,30,39,23,1.74,4,1,1,0.3333333333333333,1.6956521739130435,incorrect,68,213.89705882352942,1231.0,30.0,234.33323253823258,29,11,2,1,10,14,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_629_B___atcoder_AGC025_A.json,110,40,70,32,1.56,4,1,1,0.2909090909090909,2.1875,incorrect,109,190.78899082568807,1600.0,31.0,226.8124152896567,47,9,8,5,12,25,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_92_A___codeforces_58_B.json,88,33,55,49,1.58,6,1,1,0.5568181818181818,1.1224489795918366,correct,87,212.31034482758622,1199.0,33.0,204.3785424467804,33,21,0,4,7,21,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC143_A___atcoder_ABC178_A.json,17,4,13,12,1.23,2,1,1,0.7058823529411765,1.0833333333333333,correct,16,218.125,801.0,31.0,199.17960906344473,7,3,1,1,1,3,0
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_231_A___atcoder_AGC034_B.json,176,65,111,71,1.58,4,1,1,0.4034090909090909,1.5633802816901408,correct,175,226.02857142857144,1566.0,30.0,249.4725569080621,49,48,3,13,11,45,6
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC125_C___atcoder_ABC120_C.json,123,42,81,44,1.51,6,1,1,0.35772357723577236,1.8409090909090908,correct,122,208.45081967213116,1528.0,30.0,262.645822620156,39,24,2,0,11,43,3
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_codeforces_99_A___atcoder_ABC164_D.json,307,108,199,44,1.54,6,1,1,0.14332247557003258,4.5227272727272725,incorrect,306,149.01960784313727,1118.0,31.0,166.44723362520944,129,53,2,4,16,90,12
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC174_C___atcoder_AGC025_A.json,73,23,50,26,1.44,3,1,1,0.3561643835616438,1.9230769230769231,incorrect,72,233.05555555555554,2090.0,32.0,298.6725508726194,32,11,1,1,5,21,1
../codelingua/segment_trees/qwq_level2_Java_Fortran/qid_atcoder_ABC153_A___atcoder_ARC062_B.json,98,38,60,39,1.62,4,1,1,0.3979591836734694,1.5384615384615385,correct,97,187.51546391752578,1369.0,30.0,213.32072456563995,33,31,3,6,3,15,6
