file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty, ,plan_outlining,outline
../codelingua/segment_trees/qwq_level2_Python_C/qid_codeforces_678_B___atcoder_AGC034_B.json,114,24,90,65,1.26,9,1,1,0.5701754385964912,1.3846153846153846,incorrect,113,386.83185840707966,2148.0,101.0,336.14757873628287,28,71,0,0,0,0,0,14.0,,
../codelingua/segment_trees/qwq_level2_Python_C/qid_codeforces_629_B___atcoder_ABC122_D.json,88,14,74,48,1.18,3,1,1,0.5454545454545454,1.5416666666666667,incorrect,87,422.42528735632186,3232.0,73.0,472.2966803152813,20,42,0,7,1,0,0,16.0,1.0,
../codelingua/segment_trees/qwq_level2_Python_C/qid_codeforces_379_A___atcoder_ABC051_A.json,29,8,21,15,1.33,3,1,1,0.5172413793103449,1.4,correct,28,420.14285714285717,2003.0,100.0,451.2408993058466,4,21,0,0,1,0,0,2.0,,
../codelingua/segment_trees/qwq_level2_Python_C/qid_atcoder_ABC172_D___atcoder_ABC132_A.json,68,21,47,35,1.43,3,1,1,0.5147058823529411,1.3428571428571427,correct,67,398.0149253731343,3196.0,101.0,440.9271049675559,4,47,0,0,1,0,0,15.0,,
../codelingua/segment_trees/qwq_level2_Python_C/qid_atcoder_ABC132_F___codeforces_579_A.json,67,14,53,38,1.25,3,1,1,0.5671641791044776,1.394736842105263,correct,66,486.07575757575756,4470.0,105.0,647.533433900249,9,45,0,1,2,0,0,9.0,,
../codelingua/segment_trees/qwq_level2_Python_C/qid_codeforces_299_A___atcoder_ABC169_D.json,72,17,55,40,1.29,4,1,1,0.5555555555555556,1.375,incorrect,71,464.7042253521127,5477.0,98.0,680.8019723482886,10,40,2,1,1,0,0,15.0,2.0,
../codelingua/segment_trees/qwq_level2_Python_C/qid_atcoder_AGC028_B___atcoder_AGC034_B.json,79,18,61,48,1.28,4,1,1,0.6075949367088608,1.2708333333333333,correct,78,474.0128205128205,3544.0,100.0,464.2257761715427,18,48,0,1,1,0,0,10.0,,
../codelingua/segment_trees/qwq_level2_Python_C/qid_atcoder_ABC174_C___atcoder_ABC178_A.json,22,3,19,12,1.11,2,1,1,0.5454545454545454,1.5833333333333333,correct,21,576.8571428571429,1929.0,98.0,463.95186018748603,2,18,0,0,0,0,0,1.0,,
../codelingua/segment_trees/qwq_level2_Python_C/qid_codeforces_356_A___atcoder_ABC043_B.json,63,13,50,43,1.24,3,1,1,0.6825396825396826,1.1627906976744187,correct,62,468.2741935483871,2595.0,98.0,526.3813729748733,8,36,2,1,1,0,0,11.0,2.0,1.0
../codelingua/segment_trees/qwq_level2_Python_C/qid_codeforces_268_A___atcoder_AGC046_A.json,55,11,44,32,1.23,3,1,1,0.5818181818181818,1.375,correct,54,390.6111111111111,2809.0,102.0,499.34048642549277,14,18,3,3,1,0,0,13.0,1.0,1.0
../codelingua/segment_trees/qwq_level2_Python_C/qid_codeforces_624_B___codeforces_147_A.json,94,23,71,35,1.31,4,1,1,0.3723404255319149,2.0285714285714285,incorrect,93,473.36559139784947,10992.0,98.0,1156.195454976159,19,56,1,2,0,0,0,15.0,,
../codelingua/segment_trees/qwq_level2_Python_C/qid_atcoder_ABC122_D___atcoder_ARC062_B.json,127,38,89,30,1.42,4,1,1,0.23622047244094488,2.966666666666667,incorrect,126,357.96031746031747,4418.0,104.0,441.70144488409636,21,71,0,8,1,0,1,24.0,,
../codelingua/segment_trees/qwq_level2_Python_C/qid_atcoder_ABC150_C___codeforces_49_A.json,92,14,78,69,1.17,3,1,1,0.75,1.1304347826086956,incorrect,91,375.27472527472526,3392.0,101.0,422.7592975765568,11,58,1,0,1,0,0,20.0,,
../codelingua/segment_trees/qwq_level2_Python_C/qid_codeforces_534_B___codeforces_276_B.json,30,7,23,19,1.26,3,1,1,0.6333333333333333,1.2105263157894737,correct,29,522.5862068965517,1842.0,112.0,462.9539870102319,8,17,0,0,0,0,0,3.0,1.0,
../codelingua/segment_trees/qwq_level2_Python_C/qid_atcoder_AGC035_B___atcoder_ABC149_C.json,54,18,36,18,1.47,4,1,1,0.3333333333333333,2.0,incorrect,53,1105.301886792453,45186.0,101.0,6173.181839416069,3,45,0,0,0,0,0,5.0,,
