file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty, ,plan_outlining,outline
../codelingua/segment_trees/qwq_level3_Java_C/qid_atcoder_ABC171_E___atcoder_ABC136_B___codeforces_669_A.json,87,25,62,35,1.39,3,1,1,0.40229885057471265,1.7714285714285714,incorrect,86,493.95348837209303,12841.0,100.0,1388.3010769152918,5,74,1,2,1,0,0,3.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_codeforces_79_A___atcoder_ABC124_C___atcoder_ABC174_C.json,61,11,50,38,1.2,5,1,1,0.6229508196721312,1.3157894736842106,correct,60,478.51666666666665,3809.0,106.0,703.4508280712479,12,37,0,2,0,0,0,9.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_codeforces_404_A___atcoder_AGC034_B___codeforces_622_A.json,61,11,50,29,1.2,3,1,2,0.47540983606557374,1.7241379310344827,correct,60,455.5833333333333,4218.0,101.0,679.6570743401152,9,38,2,0,2,0,0,9.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_codeforces_637_A___atcoder_ABC149_C___atcoder_ABC172_D.json,91,20,71,40,1.27,3,1,1,0.43956043956043955,1.775,incorrect,90,383.1777777777778,5398.0,102.0,648.5614431709921,15,32,2,0,3,0,0,37.0,1.0,
../codelingua/segment_trees/qwq_level3_Java_C/qid_atcoder_ABC169_D___atcoder_AGC025_A___atcoder_ABC170_A.json,78,17,61,32,1.26,3,1,1,0.41025641025641024,1.90625,incorrect,77,574.038961038961,6747.0,100.0,962.962198547007,9,64,0,0,1,0,0,2.0,1.0,
../codelingua/segment_trees/qwq_level3_Java_C/qid_codeforces_459_B___codeforces_59_A___codeforces_514_A.json,102,29,73,49,1.38,3,1,1,0.4803921568627451,1.489795918367347,incorrect,101,423.63366336633663,1902.0,102.0,340.4678464340584,9,87,0,1,0,0,0,2.0,1.0,1.0
../codelingua/segment_trees/qwq_level3_Java_C/qid_atcoder_ABC139_B___codeforces_622_A___atcoder_ABC135_D.json,52,9,43,38,1.19,3,1,1,0.7307692307692307,1.131578947368421,incorrect,51,624.2549019607843,4897.0,100.0,916.934410808914,15,25,1,0,0,0,0,10.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_atcoder_ABC178_A___atcoder_ABC135_D___atcoder_ABC149_C.json,60,10,50,39,1.18,3,1,1,0.65,1.2820512820512822,correct,59,564.4745762711865,3493.0,104.0,684.3987886668829,9,49,0,0,1,0,0,,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_atcoder_AGC002_B___atcoder_ABC149_C___atcoder_ABC158_A.json,39,9,30,19,1.27,3,1,1,0.48717948717948717,1.5789473684210527,correct,38,589.4736842105264,2345.0,125.0,573.2516421561377,10,27,0,0,1,0,0,,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_codeforces_327_A___atcoder_ABC178_A___atcoder_ABC155_E.json,51,17,34,19,1.47,4,1,1,0.37254901960784315,1.7894736842105263,correct,50,527.54,2229.0,102.0,524.7907341920944,9,31,0,2,1,0,0,7.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_codeforces_216_B___atcoder_ABC114_C___atcoder_ABC158_A.json,106,33,73,31,1.44,5,1,1,0.29245283018867924,2.3548387096774195,correct,105,379.55238095238093,4867.0,100.0,520.9940569008511,20,56,1,3,5,0,0,20.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_codeforces_369_B___codeforces_58_B___atcoder_ABC178_A.json,68,11,57,39,1.18,2,1,1,0.5735294117647058,1.4615384615384615,correct,67,404.2686567164179,2567.0,102.0,393.70199397935465,15,45,0,0,1,0,0,6.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_atcoder_ABC123_B___atcoder_ABC114_C___codeforces_678_B.json,100,14,86,44,1.15,3,1,1,0.44,1.9545454545454546,incorrect,99,442.19191919191917,3911.0,102.0,469.6998102732946,21,65,1,0,2,0,0,10.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_atcoder_ABC118_C___codeforces_514_A___atcoder_ABC151_A.json,107,25,82,43,1.29,5,1,2,0.40186915887850466,1.9069767441860466,incorrect,106,365.5,4843.0,100.0,541.4232258813889,18,66,0,2,2,0,0,18.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_atcoder_ABC122_D___atcoder_ABC169_D___atcoder_ABC178_A.json,70,22,48,21,1.44,3,1,1,0.3,2.2857142857142856,incorrect,69,552.2463768115942,4569.0,100.0,820.6432986992064,23,39,0,1,0,0,0,6.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_atcoder_ABC118_C___atcoder_ABC178_A___codeforces_59_A.json,131,30,101,35,1.29,4,1,1,0.26717557251908397,2.8857142857142857,incorrect,130,340.84615384615387,4468.0,100.0,474.9088278317579,18,99,0,1,0,0,0,12.0,,
../codelingua/segment_trees/qwq_level3_Java_C/qid_codeforces_534_B___codeforces_58_B___codeforces_678_B.json,96,22,74,47,1.28,4,1,1,0.4895833333333333,1.574468085106383,correct,95,355.7263157894737,5919.0,100.0,629.7468326528385,13,54,1,0,7,0,0,20.0,,
