file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_codeforces_617_B___atcoder_ABC158_A.json,41,10,31,16,1.29,4,1,1,0.3902439024390244,1.9375,incorrect,40,384.3,1387.0,110.0,317.289255719244,3,27,0,1,1,8,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_atcoder_ABC172_D___atcoder_ABC151_A.json,38,10,28,23,1.32,4,1,1,0.6052631578947368,1.2173913043478262,correct,37,363.18918918918916,1350.0,73.0,269.89698012367586,4,27,0,0,0,6,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_atcoder_ABC165_C___atcoder_ABC132_A.json,87,30,57,31,1.51,5,1,2,0.3563218390804598,1.8387096774193548,correct,86,470.1162790697674,2754.0,31.0,561.2519287241515,12,37,0,1,1,35,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_atcoder_ABC147_D___codeforces_58_B.json,70,22,48,29,1.44,4,1,1,0.4142857142857143,1.6551724137931034,incorrect,69,513.2898550724638,3451.0,100.0,591.5883430982092,9,43,0,3,1,13,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_atcoder_ABC154_A___atcoder_ABC136_B.json,40,7,33,26,1.18,3,1,1,0.65,1.2692307692307692,correct,39,409.46153846153845,2705.0,102.0,486.32152274167487,9,20,0,1,0,9,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_codeforces_272_B___atcoder_ABC178_A.json,69,16,53,43,1.28,3,1,1,0.6231884057971014,1.2325581395348837,incorrect,68,453.54411764705884,3537.0,104.0,507.3365462480614,7,51,0,2,1,7,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_codeforces_400_B___atcoder_ABC051_A.json,71,18,53,39,1.32,3,1,1,0.5492957746478874,1.358974358974359,correct,70,422.14285714285717,3342.0,105.0,544.5566548216622,6,47,3,0,0,14,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_codeforces_86_A___atcoder_ABC164_D.json,60,16,44,36,1.34,4,1,1,0.6,1.2222222222222223,correct,59,607.3220338983051,4935.0,87.0,798.3990325619089,11,36,1,1,0,10,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_codeforces_189_A___atcoder_ABC164_D.json,75,25,50,31,1.48,4,1,1,0.41333333333333333,1.6129032258064515,incorrect,74,526.3783783783783,2579.0,72.0,507.59078282980346,8,52,1,0,0,13,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_codeforces_8_B___codeforces_32_B.json,59,15,44,31,1.32,3,1,1,0.5254237288135594,1.4193548387096775,correct,58,524.2413793103449,2775.0,67.0,599.4722330998437,7,39,0,0,0,12,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_codeforces_369_B___codeforces_49_A.json,74,27,47,23,1.55,5,1,1,0.3108108108108108,2.0434782608695654,correct,73,570.5342465753424,6501.0,72.0,892.8114004242718,4,51,0,1,0,17,0
../codelingua/segment_trees/r1_level2_Java_Fortran/qid_codeforces_148_B___atcoder_ABC178_A.json,48,10,38,30,1.24,3,1,1,0.625,1.2666666666666666,correct,47,369.0851063829787,1690.0,116.0,338.973567636131,5,36,0,2,1,3,0
