file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC171_E___atcoder_ABC136_B___codeforces_669_A.json,58,12,46,28,1.24,2,1,1,0.4827586206896552,1.6428571428571428,correct,57,727.140350877193,8396.0,37.0,1452.0275287457841,1,44,0,0,0,12,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_79_A___atcoder_ABC124_C___atcoder_ABC174_C.json,47,15,32,15,1.44,3,1,1,0.3191489361702128,2.1333333333333333,correct,46,598.6304347826087,7888.0,37.0,1242.3167311062318,1,33,0,0,0,12,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_404_A___atcoder_AGC034_B___codeforces_622_A.json,52,16,36,18,1.42,4,1,1,0.34615384615384615,2.0,correct,51,718.3725490196078,5936.0,109.0,1126.3488617792325,1,37,1,2,0,10,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_637_A___atcoder_ABC149_C___atcoder_ABC172_D.json,74,19,55,44,1.33,5,1,1,0.5945945945945946,1.25,incorrect,73,624.8082191780821,3975.0,70.0,908.5195934035619,6,15,0,4,0,48,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC169_D___atcoder_AGC025_A___atcoder_ABC170_A.json,66,17,49,29,1.33,6,1,1,0.4393939393939394,1.6896551724137931,correct,65,658.7692307692307,3625.0,70.0,899.5278930019133,1,54,0,0,0,10,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_459_B___codeforces_59_A___codeforces_514_A.json,57,18,39,30,1.44,3,1,1,0.5263157894736842,1.3,correct,56,730.2321428571429,5908.0,75.0,1200.3391034668862,3,43,0,0,0,10,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC139_B___codeforces_622_A___atcoder_ABC135_D.json,49,12,37,17,1.3,3,1,1,0.3469387755102041,2.176470588235294,correct,48,799.7083333333334,8865.0,102.0,1417.4474054310167,4,30,0,0,0,14,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC178_A___atcoder_ABC135_D___atcoder_ABC149_C.json,43,13,30,27,1.4,4,1,1,0.627906976744186,1.1111111111111112,correct,42,887.1428571428571,5484.0,100.0,1492.5427079958677,1,36,0,0,0,5,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_AGC002_B___atcoder_ABC149_C___atcoder_ABC158_A.json,40,11,29,16,1.34,2,1,1,0.4,1.8125,correct,39,807.5128205128206,9090.0,50.0,1879.6572457960028,2,22,0,1,0,14,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_327_A___atcoder_ABC178_A___atcoder_ABC155_E.json,37,8,29,27,1.24,3,1,1,0.7297297297297297,1.0740740740740742,correct,36,1010.25,9219.0,50.0,1652.146143224451,4,24,0,1,0,7,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_216_B___atcoder_ABC114_C___atcoder_ABC158_A.json,98,35,63,40,1.54,5,1,1,0.40816326530612246,1.575,correct,97,612.6494845360825,6509.0,37.0,938.1572256427881,11,50,0,1,0,35,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_369_B___codeforces_58_B___atcoder_ABC178_A.json,64,17,47,20,1.34,3,1,1,0.3125,2.35,correct,63,589.5555555555555,7892.0,101.0,1122.565046290914,3,50,0,0,0,10,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC123_B___atcoder_ABC114_C___codeforces_678_B.json,84,33,51,16,1.63,6,1,1,0.19047619047619047,3.1875,correct,83,690.9156626506024,5965.0,100.0,931.2861445572851,8,60,1,0,1,13,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC118_C___codeforces_514_A___atcoder_ABC151_A.json,99,31,68,44,1.44,4,1,1,0.4444444444444444,1.5454545454545454,incorrect,98,741.0102040816327,7261.0,72.0,1116.171055276507,7,68,0,1,0,20,2
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC122_D___atcoder_ABC169_D___atcoder_ABC178_A.json,33,8,25,20,1.28,3,1,1,0.6060606060606061,1.25,correct,32,1326.40625,10550.0,95.0,2243.7536501452923,2,17,0,1,0,12,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC118_C___atcoder_ABC178_A___codeforces_59_A.json,78,16,62,52,1.24,6,1,1,0.6666666666666666,1.1923076923076923,correct,77,574.6363636363636,2870.0,100.0,617.8383775434722,5,67,0,0,0,5,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_534_B___codeforces_58_B___codeforces_678_B.json,116,32,84,54,1.37,4,1,1,0.46551724137931033,1.5555555555555556,correct,115,488.37391304347824,3807.0,44.0,704.3158738738565,9,82,0,3,0,20,1
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_682_B___atcoder_ABC129_E___atcoder_ABC135_D.json,82,24,58,23,1.4,3,1,1,0.2804878048780488,2.5217391304347827,incorrect,81,765.8888888888889,11089.0,75.0,1432.235464230655,6,63,0,0,0,12,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC164_D___codeforces_669_A___atcoder_ABC132_A.json,84,23,61,40,1.36,3,1,1,0.47619047619047616,1.525,correct,83,476.2409638554217,5210.0,44.0,695.6174058882293,6,60,0,1,0,16,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_8_B___atcoder_ARC062_B___atcoder_ABC170_A.json,67,23,44,36,1.5,4,1,1,0.5373134328358209,1.2222222222222223,correct,66,713.3333333333334,3634.0,104.0,814.0033326965103,2,59,0,0,0,5,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC169_D___atcoder_ABC120_C___atcoder_ABC149_C.json,53,12,41,24,1.27,4,1,1,0.4528301886792453,1.7083333333333333,incorrect,52,751.2115384615385,4926.0,46.0,1026.7321535621502,5,36,0,1,0,10,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC136_B___codeforces_49_A___atcoder_ABC170_A.json,71,20,51,29,1.37,3,1,1,0.4084507042253521,1.7586206896551724,correct,70,762.5428571428571,10149.0,104.0,1534.2558285409928,6,53,0,2,0,9,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_583_B___atcoder_ABC170_A___codeforces_672_A.json,122,36,86,36,1.41,4,1,1,0.29508196721311475,2.388888888888889,correct,121,373.3388429752066,2078.0,60.0,383.56836752003346,1,105,0,0,0,15,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC107_D___codeforces_669_A___codeforces_49_A.json,49,10,39,33,1.23,3,1,1,0.673469387755102,1.1818181818181819,correct,48,1021.7291666666666,8140.0,103.0,1687.2067529548094,10,31,0,0,0,7,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_653_A___atcoder_ABC170_A___atcoder_ARC062_B.json,57,15,42,21,1.33,4,1,1,0.3684210526315789,2.0,correct,56,475.875,2596.0,103.0,494.51026508327135,0,48,0,0,0,8,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ARC102_C___atcoder_ARC062_B___codeforces_32_B.json,84,26,58,42,1.43,5,1,1,0.5,1.380952380952381,correct,83,582.8795180722891,4627.0,67.0,783.4870366040489,8,53,0,3,0,19,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_25_A___atcoder_ABC164_D___codeforces_669_A.json,66,18,48,25,1.35,3,1,2,0.3787878787878788,1.92,correct,65,449.16923076923075,3629.0,104.0,648.3920633293267,2,49,1,1,1,11,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_350_B___codeforces_25_A___codeforces_49_A.json,103,34,69,29,1.48,6,1,1,0.2815533980582524,2.3793103448275863,correct,102,681.5588235294117,8785.0,41.0,1186.100922137586,4,82,0,4,0,12,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC152_E___codeforces_669_A___codeforces_678_B.json,105,28,77,58,1.35,3,1,1,0.5523809523809524,1.3275862068965518,correct,104,513.0,5892.0,75.0,654.0835877820397,10,65,1,0,0,28,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC129_E___atcoder_ABC155_E___codeforces_669_A.json,74,23,51,32,1.43,5,1,1,0.43243243243243246,1.59375,correct,73,705.986301369863,4693.0,50.0,879.4314844948709,6,56,0,0,0,11,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC135_D___codeforces_579_A___codeforces_59_A.json,58,14,44,31,1.3,3,1,1,0.5344827586206896,1.4193548387096775,correct,57,857.1578947368421,7272.0,105.0,1171.9485116291478,3,39,1,1,0,13,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_92_A___atcoder_ABC136_B___atcoder_ABC051_A.json,58,14,44,37,1.3,2,1,1,0.6379310344827587,1.1891891891891893,correct,57,575.2631578947369,5171.0,37.0,899.5721905104946,5,40,0,2,0,10,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_AGC007_C___atcoder_AGC034_B___codeforces_58_B.json,67,22,45,33,1.47,4,1,1,0.4925373134328358,1.3636363636363635,correct,66,469.8484848484849,2473.0,72.0,528.1242640027423,3,50,0,1,0,12,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC178_B___atcoder_ARC062_B___codeforces_276_B.json,37,11,26,17,1.38,3,1,1,0.4594594594594595,1.5294117647058822,correct,36,701.25,4578.0,106.0,1032.7521725951487,4,20,0,0,0,12,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_25_A___atcoder_ABC178_A___atcoder_ABC169_D.json,34,6,28,21,1.18,2,1,1,0.6176470588235294,1.3333333333333333,correct,33,926.3030303030303,5531.0,63.0,1328.7788680977096,0,24,0,0,0,9,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC145_E___codeforces_8_B___codeforces_32_B.json,86,25,61,24,1.39,4,1,1,0.27906976744186046,2.5416666666666665,correct,85,507.9294117647059,6378.0,101.0,821.4066156851408,3,61,0,1,0,20,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC139_B___codeforces_669_A___atcoder_ABC172_D.json,22,4,18,13,1.17,2,1,1,0.5909090909090909,1.3846153846153846,correct,21,607.3809523809524,2238.0,107.0,626.4296030832576,4,13,0,0,0,4,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_AGC043_B___atcoder_ABC122_D___codeforces_58_B.json,64,21,43,26,1.47,3,1,1,0.40625,1.6538461538461537,incorrect,63,1128.4603174603174,7861.0,75.0,1640.068830434012,4,46,1,0,0,12,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_569_A___atcoder_ABC151_A___codeforces_49_A.json,54,12,42,30,1.26,3,1,1,0.5555555555555556,1.4,correct,53,329.41509433962267,1571.0,70.0,280.53434137526966,4,41,0,0,0,8,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_612_B___codeforces_276_B___atcoder_ABC051_A.json,46,13,33,24,1.36,3,1,1,0.5217391304347826,1.375,correct,45,384.46666666666664,1443.0,100.0,330.11241886804123,0,33,0,1,0,11,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC152_E___codeforces_678_B___codeforces_579_A.json,83,17,66,50,1.24,3,1,1,0.6024096385542169,1.32,correct,82,620.170731707317,7209.0,63.0,957.8827836854254,2,55,0,2,0,23,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC109_B___atcoder_ABC051_A___atcoder_ABC120_C.json,80,25,55,32,1.44,5,1,1,0.4,1.71875,correct,79,444.43037974683546,3324.0,100.0,595.8701606021297,8,59,1,0,0,11,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_154_A___atcoder_ABC124_C___codeforces_514_A.json,66,17,49,28,1.33,5,1,1,0.42424242424242425,1.75,correct,65,758.9692307692308,3906.0,72.0,918.3730343866057,3,57,0,0,0,5,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC174_C___atcoder_ABC051_A___codeforces_276_B.json,48,14,34,20,1.38,3,1,1,0.4166666666666667,1.7,correct,47,435.48936170212767,2267.0,60.0,440.86406622037856,2,36,0,0,0,9,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_189_A___atcoder_ABC170_A___atcoder_ABC114_C.json,60,16,44,18,1.34,3,1,2,0.3,2.4444444444444446,correct,59,499.50847457627117,4173.0,106.0,686.85197353406,2,49,1,0,0,7,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC124_A___codeforces_622_A___atcoder_ABC132_A.json,48,11,37,16,1.27,4,1,1,0.3333333333333333,2.3125,correct,47,596.4893617021277,4839.0,100.0,833.0989782091093,3,30,0,0,0,14,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_622_A___atcoder_ABC158_A___atcoder_ABC051_A.json,56,14,42,40,1.31,3,1,1,0.7142857142857143,1.05,correct,55,844.8727272727273,3531.0,105.0,861.2178296855856,1,46,0,1,0,7,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_37_A___atcoder_ABC151_A___atcoder_ABC155_E.json,70,21,49,34,1.41,3,1,1,0.4857142857142857,1.4411764705882353,correct,69,774.304347826087,5180.0,70.0,1172.2613930592822,1,62,0,0,0,6,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_629_A___atcoder_ABC120_C___codeforces_579_A.json,40,10,30,17,1.3,2,1,1,0.425,1.7647058823529411,correct,39,513.1794871794872,4617.0,69.0,788.8691396981828,2,24,0,0,0,12,1
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC119_B___atcoder_ABC151_A___codeforces_96_B.json,84,29,55,35,1.51,6,1,1,0.4166666666666667,1.5714285714285714,correct,83,739.6987951807229,6877.0,72.0,1226.149274075389,1,65,0,1,1,15,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC120_C___codeforces_622_A___atcoder_ABC170_A.json,44,8,36,27,1.19,2,1,1,0.6136363636363636,1.3333333333333333,correct,43,535.1395348837209,3440.0,100.0,618.1402823290792,0,38,0,0,0,5,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_23_B___atcoder_ABC151_A___atcoder_ABC172_D.json,97,30,67,46,1.43,4,1,1,0.4742268041237113,1.4565217391304348,correct,96,359.25,1959.0,70.0,363.0556576150767,2,79,0,0,0,15,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_622_A___codeforces_514_A___codeforces_669_A.json,67,19,48,34,1.38,6,1,1,0.5074626865671642,1.411764705882353,incorrect,66,755.0,6693.0,46.0,1219.9045107649267,7,51,1,1,0,6,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_67_B___atcoder_ABC155_E___atcoder_AGC034_B.json,111,30,81,40,1.36,3,1,1,0.36036036036036034,2.025,correct,110,343.6,4872.0,86.0,559.9496078244472,5,78,1,0,0,26,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC140_D___atcoder_ABC155_E___atcoder_AGC034_B.json,63,14,49,26,1.27,3,1,1,0.4126984126984127,1.8846153846153846,correct,62,447.2741935483871,4660.0,104.0,631.1007341939626,4,36,1,0,0,21,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC139_B___codeforces_96_B___codeforces_669_A.json,73,21,52,33,1.38,3,1,1,0.4520547945205479,1.5757575757575757,correct,72,757.5833333333334,7454.0,100.0,1350.1745296676945,2,60,0,0,0,10,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_AGC004_B___atcoder_ABC124_C___codeforces_96_B.json,66,20,46,37,1.41,3,1,1,0.5606060606060606,1.2432432432432432,incorrect,65,840.8,5748.0,86.0,1057.6062180698448,5,38,2,4,0,16,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC070_B___atcoder_AGC034_B___atcoder_AGC025_A.json,57,14,43,31,1.3,3,1,1,0.543859649122807,1.3870967741935485,correct,56,733.8928571428571,4183.0,104.0,958.143293109058,2,44,0,0,0,10,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_31_A___atcoder_ABC149_C___atcoder_ABC155_E.json,58,18,40,19,1.43,5,1,1,0.3275862068965517,2.1052631578947367,correct,57,1020.421052631579,7440.0,108.0,1454.0139263845795,4,45,0,2,0,6,0
../codelingua/segment_trees/r1_level3_Java_C/qid_codeforces_579_A___atcoder_ABC178_A___atcoder_ABC174_C.json,33,6,27,24,1.19,2,1,1,0.7272727272727273,1.125,correct,32,1057.3125,4671.0,50.0,1261.6805085461062,3,24,1,0,0,4,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ARC086_B___codeforces_514_A___atcoder_ABC172_D.json,72,24,48,27,1.48,4,1,1,0.375,1.7777777777777777,correct,71,577.3098591549295,4118.0,50.0,856.1691687235864,0,50,0,0,0,21,0
../codelingua/segment_trees/r1_level3_Java_C/qid_atcoder_ABC114_C___codeforces_514_A___codeforces_8_B.json,104,36,68,29,1.51,4,1,1,0.27884615384615385,2.3448275862068964,correct,103,723.757281553398,6433.0,72.0,931.072294175255,5,86,0,1,0,11,0
