file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty
../codelingua/segment_trees/r1_level3_Python_C/qid_atcoder_ABC124_A___atcoder_ABC051_A___codeforces_59_A.json,40,11,29,26,1.34,3,1,1,0.65,1.1153846153846154,correct,39,528.7435897435897,3263.0,65.0,653.2239366947488,2,29,0,0,0,8,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_272_B___atcoder_ABC135_D___codeforces_678_B.json,60,16,44,27,1.34,3,1,1,0.45,1.6296296296296295,correct,59,991.5254237288135,11022.0,62.0,1780.9151014241024,5,40,1,0,0,13,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_632_B___codeforces_669_A___atcoder_ABC164_D.json,59,21,38,18,1.53,5,1,1,0.3050847457627119,2.111111111111111,correct,58,548.9827586206897,4814.0,56.0,754.1012657433782,7,28,1,0,1,21,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_644_B___codeforces_622_A___codeforces_96_B.json,114,35,79,39,1.43,3,1,1,0.34210526315789475,2.0256410256410255,correct,113,496.79646017699116,7245.0,112.0,801.4041378294817,6,82,1,0,0,24,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_92_A___atcoder_AGC046_A___atcoder_ABC124_C.json,45,12,33,32,1.33,3,1,1,0.7111111111111111,1.03125,correct,44,517.6818181818181,2905.0,46.0,613.7213886753073,1,33,0,3,0,7,0
../codelingua/segment_trees/r1_level3_Python_C/qid_atcoder_AGC011_C___atcoder_ABC132_A___codeforces_59_A.json,89,25,64,49,1.38,3,1,1,0.550561797752809,1.3061224489795917,correct,88,604.5,8037.0,100.0,1164.4267101103405,11,52,0,1,0,24,0
../codelingua/segment_trees/r1_level3_Python_C/qid_atcoder_ABC140_D___atcoder_AGC046_A___codeforces_96_B.json,59,14,45,41,1.29,3,1,1,0.6949152542372882,1.0975609756097562,correct,58,782.4655172413793,4205.0,74.0,933.7183957970025,1,30,1,1,0,25,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_86_A___atcoder_ABC135_D___atcoder_AGC034_B.json,59,19,40,30,1.45,4,1,1,0.5084745762711864,1.3333333333333333,incorrect,58,634.6896551724138,4778.0,111.0,1036.1769341374452,1,43,1,2,0,11,0
../codelingua/segment_trees/r1_level3_Python_C/qid_atcoder_ARC102_C___atcoder_ABC122_D___atcoder_ABC169_D.json,107,35,72,30,1.47,5,1,1,0.2803738317757009,2.4,correct,106,675.9150943396227,10664.0,100.0,1407.1019194678086,3,80,0,0,0,23,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_629_B___codeforces_49_A___atcoder_ABC132_A.json,84,26,58,29,1.43,6,1,1,0.34523809523809523,2.0,correct,83,517.0843373493976,5301.0,100.0,729.8146808678395,4,71,1,1,0,6,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_518_B___codeforces_190_A___atcoder_ABC129_E.json,56,17,39,17,1.41,3,1,1,0.30357142857142855,2.2941176470588234,correct,55,714.3090909090909,4630.0,100.0,948.073638973168,10,28,1,2,0,13,1
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_678_A___atcoder_ABC155_E___atcoder_ABC142_A.json,57,15,42,27,1.33,3,1,1,0.47368421052631576,1.5555555555555556,incorrect,56,940.4107142857143,6539.0,77.0,1175.4824738925593,1,47,1,1,0,6,0
../codelingua/segment_trees/r1_level3_Python_C/qid_atcoder_ABC149_B___codeforces_171_A___codeforces_276_B.json,59,18,41,26,1.41,5,1,1,0.4406779661016949,1.5769230769230769,incorrect,58,818.2586206896551,6174.0,104.0,1183.7531386845117,4,40,1,1,0,12,0
../codelingua/segment_trees/r1_level3_Python_C/qid_atcoder_ABC162_D___codeforces_96_B___codeforces_514_A.json,68,24,44,32,1.52,7,1,1,0.47058823529411764,1.375,correct,67,538.3880597014926,3006.0,105.0,644.6096294663333,2,38,1,0,0,26,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_678_B___atcoder_ABC169_D___atcoder_ABC172_D.json,30,8,22,21,1.32,2,1,1,0.7,1.0476190476190477,correct,29,903.3793103448276,4198.0,100.0,1076.8768139456774,3,18,0,0,0,8,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_37_A___atcoder_ABC153_A___atcoder_ABC149_C.json,37,6,31,19,1.16,3,1,1,0.5135135135135135,1.631578947368421,correct,36,757.0555555555555,4521.0,139.0,916.8128628007055,5,20,0,0,0,11,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_617_B___atcoder_ABC136_B___atcoder_ARC062_B.json,74,23,51,38,1.43,4,1,1,0.5135135135135135,1.3421052631578947,correct,73,704.0958904109589,6082.0,103.0,1058.0216623016483,4,59,1,0,0,9,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_189_A___atcoder_ABC174_C___atcoder_ABC136_B.json,33,6,27,18,1.19,2,1,1,0.5454545454545454,1.5,correct,32,1166.5625,3552.0,74.0,978.3821054960268,4,22,0,0,0,6,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_519_B___codeforces_617_B___atcoder_ABC155_E.json,74,27,47,21,1.55,4,1,1,0.28378378378378377,2.238095238095238,incorrect,73,901.0,10245.0,116.0,1645.655796331663,7,49,0,2,0,15,0
../codelingua/segment_trees/r1_level3_Python_C/qid_atcoder_ABC147_D___atcoder_ABC051_A___atcoder_ABC132_A.json,65,14,51,30,1.25,2,1,1,0.46153846153846156,1.7,correct,64,595.984375,4720.0,85.0,851.0294138536268,7,46,1,0,0,10,0
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_86_A___atcoder_ABC051_A___atcoder_ABC178_A.json,49,14,35,29,1.37,3,1,1,0.5918367346938775,1.206896551724138,correct,48,1021.3541666666666,5807.0,110.0,1227.9168398202642,3,36,0,2,1,5,1
../codelingua/segment_trees/r1_level3_Python_C/qid_codeforces_607_A___atcoder_ABC164_D___atcoder_ABC155_E.json,50,16,34,25,1.44,3,1,1,0.5,1.36,correct,49,662.8571428571429,4486.0,101.0,853.9753362949073,5,30,0,3,0,11,0
../codelingua/segment_trees/r1_level3_Python_C/qid_atcoder_ABC164_D___codeforces_669_A___atcoder_ABC051_A.json,28,6,22,21,1.23,4,1,1,0.75,1.0476190476190477,correct,27,845.3703703703703,5246.0,74.0,1217.810713728917,2,22,0,0,0,3,0
