file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,log_length,log_word_count,avg_sent_len,sent_len_cv,hesitation_rate,correction_rate,confidence_rate,conf_hesit_ratio,backtrack_rate,forward_rate,fw_bt_ratio,question_rate,code_density,early_hesit,mid_hesit,late_hesit,hesit_trend,early_correct,late_correct,correct_trend,analysis_rate,exec_rate,plan_rate,verify_rate,strategy_entropy,lex_diversity,conclusion_strength,first_person_rate,paragraph_rate,success_words,failure_words,success_fail_ratio,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty
./segment_trees/r1_level2_output/qid_sample_698_sample_640.json,48,7,41,40,1.15,2,1,1,0.8333333333333334,1.025,correct,9.68601538845915,7.887208585813932,14.398936170212766,0.9066595503407828,8.640120210368144,5.634861006761833,0.0,0.041666666666666664,8.640120210368144,4.507888805409467,0.5416666666666666,0.23404255319148937,0.07513148009015778,16.528925619834713,6.593406593406593,3.3112582781456954,-13.217667341689017,11.806375442739078,1.1037527593818985,-10.70262268335718,0.1702127659574468,0.0,0.010638297872340425,0.005319148936170213,0.34756741028562893,0.06649135987978963,0,0.33809166040571,5.822689706987227,0.3756574004507889,1.5026296018031555,0.4,47,337.93617021276594,2499.0,35.0,469.65572054132144,30,14,0,0,0,1,2
./segment_trees/r1_level2_output/qid_sample_598_sample_329.json,8,1,7,7,1.0,1,1,1,0.875,1.0,correct,7.394493107219038,5.5909869805108565,15.882352941176471,0.663490375768931,0.0,0.0,0.0,1.0,0.0,11.235955056179774,4.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.058823529411764705,0.0,0.5000926788714241,0.20599250936329588,1,0.7490636704119851,7.116104868913858,0.0,11.235955056179774,0.25,7,230.57142857142858,629.0,31.0,203.0770437895079,2,4,1,0,0,0,0
./segment_trees/r1_level2_output/qid_sample_205_sample_128.json,30,3,27,27,1.07,2,1,2,0.9,1.0,correct,9.340403256274351,7.52294091807237,20.633333333333333,1.1751636266965206,8.653326122228233,3.785830178474851,1.081665765278529,0.17647058823529413,9.194159004867496,2.7041644131963225,0.3333333333333333,0.17777777777777778,0.1081665765278529,8.941877794336811,10.101010101010102,6.825938566552901,-2.11593922778391,8.941877794336811,1.7064846416382253,-7.235393152698586,0.12222222222222222,0.011111111111111112,0.0,0.03333333333333333,0.7284751565190918,0.07733910221741482,1,0.16224986479177933,4.056246619794484,1.6224986479177934,7.030827474310438,0.2857142857142857,29,388.7931034482759,4375.0,33.0,815.4840972133557,11,13,0,3,0,1,1
./segment_trees/r1_level2_output/qid_sample_485_sample_9.json,15,3,12,10,1.17,3,1,1,0.6666666666666666,1.2,correct,7.595889917718538,5.877735781779639,13.76923076923077,0.7232641384814371,0.0,0.0,0.0,1.0,0.0,14.044943820224718,6.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.007555685783668199,0.2303370786516854,0,0.0,3.651685393258427,0.0,0.0,1.0,14,140.35714285714286,502.0,31.0,129.4595910478853,6,5,0,0,0,1,2
./segment_trees/r1_level2_output/qid_sample_242_sample_98.json,35,3,32,29,1.06,2,1,1,0.8285714285714286,1.103448275862069,correct,8.940891067785461,7.119635638017636,12.028301886792454,0.7726270489110241,7.28744939271255,4.048582995951417,1.6194331983805668,0.3,7.28744939271255,6.477732793522267,0.9,0.16981132075471697,0.0,9.523809523809526,9.950248756218905,2.4154589371980677,-7.108350586611458,7.142857142857142,0.0,-7.142857142857142,0.11320754716981132,0.0,0.0,0.018867924528301886,0.4125248107810271,0.12307692307692308,2,1.376518218623482,4.2105263157894735,2.4291497975708505,3.2388663967611335,0.8,34,220.97058823529412,1326.0,31.0,250.12887409131505,10,19,0,1,0,2,2
./segment_trees/r1_level2_output/qid_sample_356_sample_404.json,14,3,11,6,1.18,3,1,3,0.42857142857142855,1.8333333333333333,incorrect,7.497207223203318,5.768320995793772,10.766666666666667,0.5911691541835818,0.0,0.0,0.0,1.0,3.134796238244514,15.67398119122257,3.0,0.03333333333333333,0.6269592476489028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.027698380900566213,0.2225705329153605,2,0.6269592476489028,3.4482758620689657,0.0,3.134796238244514,0.5,13,135.46153846153845,272.0,30.0,68.87139631784177,9,3,0,0,0,0,1
./segment_trees/r1_level2_output/qid_sample_235_sample_761.json,12,2,10,10,1.1,2,1,1,0.8333333333333334,1.0,incorrect,7.1891677384203225,5.472270673671475,9.52,0.48648858058936273,0.0,0.0,0.0,1.0,0.0,12.658227848101266,4.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.04,0.0,0.5630369077792161,0.24050632911392406,0,0.0,3.7974683544303796,0.0,4.219409282700422,0.5,11,118.0909090909091,278.0,44.0,68.31757394031867,2,7,1,0,0,1,0
./segment_trees/r1_level2_output/qid_sample_357_sample_655.json,5,1,4,4,1.0,1,1,1,0.8,1.0,correct,7.05617528410041,5.262690188904886,24.0,0.8444570083129684,0.0,0.0,0.0,1.0,0.0,10.416666666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.002976618466575612,0.24479166666666666,1,0.5208333333333333,4.6875,0.0,0.0,1.0,4,287.75,890.0,38.0,403.2454794125616,0,2,0,0,0,1,1
./segment_trees/r1_level2_output/qid_sample_680_sample_201.json,12,2,10,7,1.1,2,1,1,0.5833333333333334,1.4285714285714286,correct,8.10076824307173,6.295266001439646,19.714285714285715,1.506009107559476,0.0,0.0,0.0,1.0,0.0,3.6968576709796674,3.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.008204645912965724,0.133086876155268,0,0.0,5.360443622920517,0.0,1.8484288354898337,0.5,11,297.90909090909093,1554.0,32.0,519.3702830438904,3,4,0,0,0,3,1
./segment_trees/r1_level2_output/qid_sample_292_sample_43.json,13,2,11,11,1.09,2,1,1,0.8461538461538461,1.0,correct,7.814803429489359,6.082218910376446,16.923076923076923,1.194131656570221,0.0,0.0,0.0,1.0,0.0,4.576659038901602,3.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.11538461538461539,0.0,0.6355593135902127,0.19908466819221968,1,0.2288329519450801,3.4324942791762014,0.0,6.864988558352402,0.25,12,204.33333333333334,939.0,35.0,255.01847823721369,9,3,0,0,0,0,0
./segment_trees/r1_level2_output/qid_sample_734_sample_592.json,44,6,38,37,1.13,2,1,1,0.8409090909090909,1.027027027027027,incorrect,8.868131713503033,7.149916836132109,13.826086956521738,0.637760348356529,9.426551453260016,2.356637863315004,3.142183817753339,0.38461538461538464,7.069913589945012,3.142183817753339,0.5,0.13043478260869565,0.0,0.0,20.54794520547945,7.058823529411765,7.058823529411765,0.0,2.352941176470588,2.352941176470588,0.45652173913043476,0.0,0.03260869565217391,0.0,0.24447647035604328,0.12254516889238021,9,0.4713275726630008,5.341712490180675,3.142183817753339,24.351924587588375,0.15625,43,162.90697674418604,465.0,31.0,103.46285598809715,15,15,1,8,0,2,2
./segment_trees/r1_level2_output/qid_sample_159_sample_357.json,11,1,10,10,1.0,1,1,1,0.9090909090909091,1.0,correct,8.242493153187626,6.416732282512326,25.625,1.0671709595145715,8.183306055646481,6.546644844517186,0.0,0.16666666666666666,8.183306055646481,4.909983633387888,0.6666666666666666,0.25,0.0,13.333333333333334,9.66183574879227,0.0,-13.333333333333334,8.88888888888889,0.0,-8.88888888888889,0.125,0.0,0.0,0.041666666666666664,0.5629303270802481,0.12274959083469722,1,0.4909983633387889,3.6006546644844515,0.0,1.6366612111292964,0.5,10,377.8,1088.0,38.0,323.7810645757064,4,5,0,0,0,0,1
./segment_trees/r1_level2_output/qid_sample_795_sample_205.json,57,10,47,36,1.19,3,1,1,0.631578947368421,1.3055555555555556,correct,9.128696382935672,7.352441100243583,11.368794326241135,0.6774923628433875,7.6972418216805645,3.8486209108402822,1.9243104554201411,0.3076923076923077,7.6972418216805645,7.6972418216805645,1.0,0.15602836879432624,0.0,6.109979633401222,10.90909090909091,5.780346820809248,-0.3296328125919743,4.0733197556008145,0.0,-4.0733197556008145,0.09929078014184398,0.0070921985815602835,0.0,0.014184397163120567,0.5787733575592173,0.11225144323284157,2,2.052597819114817,5.1956382296343815,1.2828736369467606,7.6972418216805645,0.23076923076923078,56,160.33928571428572,653.0,38.0,144.06643376464325,20,21,5,4,0,2,4
./segment_trees/r1_level2_output/qid_sample_731_sample_211.json,87,15,72,65,1.19,3,1,1,0.7471264367816092,1.1076923076923078,correct,9.846493831016009,7.9483852851118995,14.193069306930694,0.9949239080494062,10.247349823321555,7.773851590106007,0.3533568904593639,0.06666666666666667,10.247349823321555,4.240282685512367,0.43333333333333335,0.24752475247524752,0.0,8.563273073263558,12.672811059907835,9.868421052631579,1.3051479793680212,7.611798287345386,5.482456140350877,-2.1293421469945093,0.10891089108910891,0.01485148514851485,0.01485148514851485,0.009900990099009901,0.8653758977524361,0.06395759717314488,1,0.7067137809187279,3.568904593639576,0.3533568904593639,1.7667844522968197,0.3333333333333333,86,213.1046511627907,1549.0,30.0,263.8692648250051,34,28,1,5,0,14,4
./segment_trees/r1_level2_output/qid_sample_192_sample_673.json,34,4,30,26,1.1,2,1,1,0.7647058823529411,1.1538461538461537,correct,8.368925174747135,6.513230110912307,6.435897435897436,0.9198788207197796,5.943536404160475,2.9717682020802374,0.0,0.2,5.943536404160475,8.915304606240714,1.4,0.05128205128205128,0.0,13.953488372093023,4.672897196261682,0.0,-13.953488372093023,4.651162790697675,4.065040650406504,-0.5861221402911703,0.042735042735042736,0.008547008547008548,0.03418803418803419,0.008547008547008548,1.1564761701720725,0.1485884101040119,1,0.1485884101040119,4.457652303120357,0.0,1.4858841010401187,0.5,33,128.5151515151515,478.0,32.0,113.00971230720648,12,17,2,0,0,0,2
./segment_trees/r1_level2_output/qid_sample_450_sample_91.json,28,2,26,25,1.04,2,1,1,0.8928571428571429,1.04,correct,8.57130251706327,6.852242569051878,18.384615384615383,1.0913726877590542,7.407407407407407,4.2328042328042335,2.1164021164021167,0.375,7.407407407407407,3.1746031746031744,0.5,0.09615384615384616,0.0,6.269592476489028,12.861736334405144,3.1645569620253164,-3.1050355144637116,3.134796238244514,0.0,-3.134796238244514,0.11538461538461539,0.0,0.019230769230769232,0.0,0.4124428426586088,0.13227513227513227,2,0.10582010582010583,3.915343915343916,2.1164021164021167,8.465608465608467,0.3333333333333333,27,193.44444444444446,1029.0,38.0,199.07542701455054,11,10,0,2,0,3,1
./segment_trees/r1_level2_output/qid_sample_130_sample_73.json,21,3,18,18,1.11,2,1,1,0.8571428571428571,1.0,correct,9.007856923358275,7.154615356913663,14.818181818181818,0.7991077206226918,7.0367474589523065,2.3455824863174355,0.7818608287724785,0.2,7.818608287724785,8.600469116497262,1.0909090909090908,0.14772727272727273,8.75684128225176,6.960556844547564,9.174311926605505,4.830917874396135,-2.1296389701514284,2.320185614849188,0.0,-2.320185614849188,0.07954545454545454,0.0,0.0,0.011363636363636364,0.3814962922711809,0.10633307271305707,2,0.1563721657544957,5.394839718530102,1.563721657544957,1.563721657544957,1.0,20,405.0,1858.0,35.0,468.27724581423814,6,9,1,0,0,2,2
./segment_trees/r1_level2_output/qid_sample_113_sample_733.json,20,3,17,17,1.12,2,1,1,0.85,1.0,incorrect,9.724719673941472,7.8547691834991324,52.55102040816327,1.6249038400458644,8.537058595265812,2.716336825766395,0.38804811796662786,0.08695652173913043,8.92510671323244,2.328288707799767,0.2916666666666667,0.20408163265306123,0.0,9.89010989010989,9.04392764857881,6.7114093959731544,-3.178700494136736,3.2967032967032965,1.1185682326621924,-2.178135064041104,0.04081632653061224,0.0,0.0,0.04081632653061224,0.6947891361111628,0.04346138921226232,0,0.07760962359332557,3.4536282499029882,6.596818005432674,0.38804811796662786,9.0,19,875.4736842105264,3318.0,38.0,909.0427424507272,3,15,0,0,0,0,1
./segment_trees/r1_level2_output/qid_sample_125_sample_687.json,98,11,87,86,1.11,2,1,1,0.8775510204081632,1.0116279069767442,correct,10.19735048406299,8.222285073872717,14.436781609195402,1.0652318780978092,7.254164427727028,4.298764105319721,0.0,0.03571428571428571,7.254164427727028,4.836109618484685,0.6785714285714286,0.25287356321839083,0.05373455131649651,6.568144499178982,9.46372239747634,5.658852061438965,-0.9092924377400173,4.105090311986864,2.425222312045271,-1.6798679999415924,0.038314176245210725,0.0038314176245210726,0.0,0.011494252873563218,0.7601902690030236,0.053465878559914026,0,0.05373455131649651,4.245029554003224,0.2686727565824826,1.6120365394948952,0.2857142857142857,97,259.8556701030928,1312.0,30.0,246.68831505611158,36,49,1,4,0,4,3
./segment_trees/r1_level2_output/qid_sample_433_sample_107.json,29,5,24,23,1.17,3,1,1,0.7931034482758621,1.0434782608695652,correct,9.237566358229774,7.43955930913332,12.776978417266188,1.1931079112581668,5.878894767783657,2.3515579071134627,0.0,0.09090909090909091,5.878894767783657,5.291005291005291,0.9090909090909091,0.05755395683453238,1.1169900058788949,1.968503937007874,13.793103448275861,1.6313213703099512,-0.3371825666979229,0.0,0.0,0.0,0.014388489208633094,0.0,0.0,0.007194244604316547,0.6496170275852907,0.06584362139917696,2,0.058788947677836566,5.173427395649617,0.0,1.1757789535567313,0.3333333333333333,28,361.75,1422.0,38.0,373.93657859965344,6,18,1,2,0,0,1
./segment_trees/r1_level2_output/qid_sample_546_sample_9.json,22,3,19,16,1.11,2,1,2,0.7272727272727273,1.1875,correct,7.943072717277933,6.131226489483141,12.833333333333334,0.5134388935265141,4.357298474945535,2.1786492374727673,4.357298474945535,1.0,4.357298474945535,10.893246187363834,2.0,0.3611111111111111,0.0,0.0,6.369426751592357,6.369426751592357,6.369426751592357,0.0,0.0,0.0,0.1388888888888889,0.0,0.08333333333333333,0.0,0.6610714711257394,0.1895424836601307,3,0.0,4.793028322440088,0.0,4.357298474945535,0.3333333333333333,21,132.28571428571428,480.0,37.0,104.56488074738233,7,8,1,1,0,0,4
./segment_trees/r1_level2_output/qid_sample_799_sample_78.json,8,1,7,7,1.0,1,1,1,0.875,1.0,correct,7.945909598613133,6.100318952020064,13.666666666666666,0.8526760262954783,2.247191011235955,2.247191011235955,2.247191011235955,1.0,2.247191011235955,6.741573033707866,2.0,0.09090909090909091,4.49438202247191,0.0,7.751937984496124,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.03043051627768791,0.18202247191011237,1,0.0,6.067415730337078,4.49438202247191,2.247191011235955,1.5,7,399.85714285714283,1041.0,85.0,353.19608745069104,2,5,0,0,0,0,0
./segment_trees/r1_level2_output/qid_sample_177_sample_708.json,42,6,36,36,1.14,2,1,1,0.8571428571428571,1.0,incorrect,9.195632743103909,7.55171221535131,31.683333333333334,2.66002957756967,5.780346820809248,2.627430373095113,4.729374671571204,0.8333333333333334,5.780346820809248,5.780346820809248,1.0,0.13333333333333333,0.0,2.5906735751295336,10.657193605683837,5.272407732864675,2.6817341577351415,1.2953367875647668,1.757469244288225,0.46213245672345815,0.15,0.0,0.0,0.03333333333333333,0.4749807105522024,0.06621124540199684,4,1.2611665790856543,4.256437204414083,4.729374671571204,1.050972149238045,3.3333333333333335,41,235.3170731707317,1329.0,35.0,296.02081337503876,13,19,2,4,0,2,1
