file,total_nodes,leaf_nodes,internal_nodes,max_depth,average_branching_factor,max_branching_factor,min_branching_factor,first_branching_factor,depth_per_nodes,internal_per_depth,state,log_length,log_word_count,avg_sent_len,sent_len_cv,hesitation_rate,correction_rate,confidence_rate,conf_hesit_ratio,backtrack_rate,forward_rate,fw_bt_ratio,question_rate,code_density,early_hesit,mid_hesit,late_hesit,hesit_trend,early_correct,late_correct,correct_trend,analysis_rate,exec_rate,plan_rate,verify_rate,strategy_entropy,lex_diversity,conclusion_strength,first_person_rate,paragraph_rate,success_words,failure_words,success_fail_ratio,total_segments,avg_segment_len,max_segment_len,min_segment_len,std_dev_len,code_analysis,mental_execution,test_generation,bug_fixing,language_mapping,high_level_plan,empty
./segment_trees/r1_level1_block/qid_block_completion_000918.json,36,8,28,25,1.25,2,1,1,0.6944444444444444,1.12,correct,9.683090226889943,8.048788283534199,10.536912751677852,0.595478725541491,11.505273250239693,0.9587727708533077,2.876318312559923,0.2702702702702703,9.587727708533079,5.113454777884308,0.5483870967741935,0.0738255033557047,1.0546500479386385,10.55662188099808,12.87128712871287,11.142061281337048,0.5854394003389682,0.0,0.9285051067780873,0.9285051067780873,0.26174496644295303,0.026845637583892617,0.003355704697986577,0.0,0.3678767700333099,0.08501118568232663,1,0.15979546180888463,3.8350910834132312,2.876318312559923,2.876318312559923,1.0,35,456.65714285714284,1989.0,124.0,407.6993516606788,18,15,0,0,0,2,0
./segment_trees/r1_level1_block/qid_block_completion_000298.json,48,9,39,37,1.21,2,1,1,0.7708333333333334,1.054054054054054,incorrect,10.786407626268446,9.104646467417119,16.240143369175627,0.7145616075303268,7.003112494441974,1.3339261894175187,3.8906180524677634,0.5625,4.11293908403735,8.781680746998665,2.1052631578947367,0.016129032258064516,3.8128056914184083,10.716677829872738,3.713706954760297,6.557377049180328,-4.15930078069241,2.344273275284662,0.6557377049180327,-1.6885355703666294,0.3978494623655914,0.010752688172043012,0.0035842293906810036,0.0,0.16962954745513015,0.03746109381947532,1,0.25566918630502444,6.469542018674967,4.001778568252557,1.778568252556692,2.176470588235294,47,1026.3191489361702,7483.0,120.0,1428.7672111844468,33,5,0,6,0,3,0
./segment_trees/r1_level1_block/qid_block_completion_000762.json,17,2,15,15,1.07,2,1,1,0.8823529411764706,1.0,incorrect,9.383200644980624,7.7306140660637395,11.201970443349754,0.5759078483200308,5.711775043936732,0.43936731107205623,11.862917398945518,2.0,3.51493848857645,3.0755711775043935,0.8888888888888888,0.04433497536945813,1.3181019332161688,7.863695937090432,9.09090909090909,0.0,-7.863695937090432,0.0,0.0,0.0,0.4433497536945813,0.03940886699507389,0.014778325123152709,0.0049261083743842365,0.4562906515194226,0.08567662565905097,2,1.7574692442882252,2.2847100175746924,12.302284710017574,10.105448154657294,1.2083333333333333,16,741.3125,1534.0,166.0,386.2166436513752,11,5,0,0,0,0,0
./segment_trees/r1_level1_block/qid_block_completion_000332.json,32,3,29,27,1.07,2,1,1,0.84375,1.0740740740740742,correct,9.571226436686379,7.877017895622398,7.33879781420765,0.946144648560467,5.692599620493358,0.7590132827324478,8.349146110056925,1.4375,6.451612903225806,4.554079696394687,0.7222222222222222,0.0273224043715847,0.45540796963946867,9.153318077803204,6.564551422319474,1.1806375442739079,-7.972680533529297,0.0,1.1806375442739079,1.1806375442739079,0.10382513661202186,0.02459016393442623,0.00546448087431694,0.0,0.6386361704915862,0.07552182163187855,1,0.22770398481973433,2.998102466793169,8.72865275142315,1.1385199240986716,6.0,31,461.4193548387097,2952.0,110.0,558.6802767351853,17,11,0,2,0,1,0
./segment_trees/r1_level1_block/qid_block_completion_000627.json,110,24,86,82,1.27,3,1,1,0.7454545454545455,1.048780487804878,incorrect,11.222893968114388,9.540363284917488,13.506256015399423,0.6897357980900415,5.823567474297218,0.5751671579552807,9.993529369473004,1.7073170731707317,3.0915234740096342,13.013156948738226,4.136363636363637,0.02791145332050048,4.551010137321159,6.49895178197065,5.219660722053066,5.7243505063848525,-0.7746012755857974,0.6289308176100629,0.0,-0.6289308176100629,0.4475457170356112,0.03176130895091434,0.0028873917228103944,0.0,0.27759870226663136,0.03271263210870659,15,0.8555611474584801,5.952980084837155,11.287655474872386,7.980444316629521,1.4107142857142858,109,684.743119266055,4385.0,99.0,709.492024903234,70,11,0,20,0,8,0
./segment_trees/r1_level1_block/qid_block_completion_000277.json,81,21,60,36,1.33,4,1,1,0.4444444444444444,1.6666666666666667,incorrect,10.534998662437673,8.8110561229431,16.81954887218045,0.7617223106212491,14.015207991650515,0.0,1.490979573579842,0.11578947368421053,1.3418816162218576,1.7891754882958104,1.3,0.03759398496240601,1.41643059490085,15.015015015015015,16.453382084095065,10.507080858839652,-4.507934156175363,0.0,0.0,0.0,0.20551378446115287,0.13032581453634084,0.005012531328320802,0.0,0.7325059506039895,0.05620992992396004,3,0.0745489786789921,2.758312211122708,1.490979573579842,1.6400775309378262,0.9166666666666666,80,468.475,2178.0,16.0,428.52785901195165,52,17,0,2,0,8,1
./segment_trees/r1_level1_block/qid_block_completion_000559.json,10,1,9,9,1.0,1,1,1,0.9,1.0,correct,8.446341450444287,6.838405200847344,8.55045871559633,0.6751937141320671,19.313304721030043,4.291845493562231,12.875536480686696,0.6842105263157895,16.094420600858367,0.0,0.0625,0.01834862385321101,0.6437768240343348,32.67973856209151,12.779552715654951,12.698412698412698,-19.981325863678812,9.803921568627452,3.1746031746031744,-6.629318394024278,0.1926605504587156,0.027522935779816515,0.0,0.0,0.37758220095621897,0.157725321888412,0,0.4291845493562232,1.9313304721030042,13.948497854077255,4.291845493562231,2.8,9,516.3333333333334,1968.0,152.0,555.0466196636098,3,4,0,2,0,0,0
./segment_trees/r1_level1_block/qid_block_completion_000109.json,9,2,7,7,1.14,2,1,1,0.7777777777777778,1.0,correct,7.545389749611823,5.82600010738045,16.9,0.4502099304527163,0.0,0.0,2.9585798816568047,2.0,0.0,8.875739644970414,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0018454416743296802,0.35502958579881655,0,0.0,2.0710059171597632,2.9585798816568047,2.9585798816568047,1.0,8,234.875,488.0,125.0,128.39274289682976,6,0,0,2,0,0,0
./segment_trees/r1_level1_block/qid_block_completion_000365.json,44,10,34,30,1.26,3,1,2,0.6818181818181818,1.1333333333333333,incorrect,9.795233967095873,8.153925132007862,19.35,0.5745628448364726,8.63060989643268,0.0,1.4384349827387803,0.1935483870967742,6.329113924050633,8.63060989643268,1.3478260869565217,0.07222222222222222,1.3521288837744534,8.8339222614841,11.76470588235294,5.194805194805195,-3.6391170666789048,0.0,0.0,0.0,0.4111111111111111,0.03888888888888889,0.005555555555555556,0.0,0.3549011899487023,0.0739355581127733,3,0.46029919447640966,3.049482163406214,2.589182968929804,0.5753739930955121,3.3333333333333335,43,415.06976744186045,2009.0,102.0,405.52695849256475,37,1,0,0,0,5,0
./segment_trees/r1_level1_block/qid_block_completion_000735.json,5,1,4,4,1.0,1,1,1,0.8,1.0,correct,6.953684210870537,5.2832037287379885,8.909090909090908,0.43195939772483116,10.204081632653061,0.0,15.306122448979592,1.3333333333333333,10.204081632653061,0.0,0.3333333333333333,0.0,0.0,0.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.045454545454545456,0.09090909090909091,0.045454545454545456,1.1447053597635308,0.2193877551020408,0,1.0204081632653061,2.0408163265306123,15.306122448979592,5.1020408163265305,2.0,4,260.75,487.0,163.0,152.11919668470512,2,1,0,1,0,0,0
./segment_trees/r1_level1_block/qid_block_completion_000220.json,15,2,13,13,1.08,2,1,1,0.8666666666666667,1.0,correct,8.97979449089521,7.317876198626496,10.349315068493151,0.7114469087116662,10.624169986719787,0.0,1.9920318725099602,0.23529411764705882,7.968127490039841,3.3200531208499338,0.46153846153846156,0.06164383561643835,1.1288180610889775,16.359918200409,11.928429423459244,3.883495145631068,-12.47642305477793,0.0,0.0,0.0,0.18493150684931506,0.03424657534246575,0.0,0.0,0.43396571608835904,0.099601593625498,0,1.7928286852589643,3.054448871181939,1.9920318725099602,3.3200531208499338,0.6666666666666666,14,566.0714285714286,2517.0,16.0,731.380408677866,10,2,0,0,0,1,1
./segment_trees/r1_level1_block/qid_block_completion_000670.json,49,11,38,35,1.26,4,1,1,0.7142857142857143,1.0857142857142856,incorrect,10.61947196699883,8.902455592206882,8.748218527315915,0.9750552197127832,15.512314600625935,0.9525105456524697,2.8575316369574093,0.19130434782608696,9.252959586338278,2.585385766770989,0.2898550724637681,0.019002375296912115,2.2315961355286436,21.22641509433962,13.883045856121162,11.11111111111111,-10.115303983228511,0.7861635220125787,1.2345679012345678,0.44840437922198917,0.23040380047505937,0.022565320665083134,0.0023752969121140144,0.0011876484560570072,0.3770990609391149,0.04327119335964077,5,1.1157980677643218,6.735610287113894,4.7625527282623485,3.265750442237039,1.44,48,850.625,3066.0,16.0,732.2826632770779,15,23,0,3,0,6,1
./segment_trees/r1_level1_block/qid_block_completion_000959.json,53,8,45,37,1.16,2,1,1,0.6981132075471698,1.2162162162162162,correct,10.38186229603161,8.74369111054302,9.38955223880597,0.8853106206980066,13.716108452950559,1.4354066985645932,6.698564593301436,0.4942528735632184,10.36682615629984,11.164274322169058,1.0757575757575757,0.026865671641791045,1.38755980861244,14.96138996138996,16.74641148325359,9.47867298578199,-5.4827169756079694,1.4478764478764479,0.9478672985781991,-0.5000091492982488,0.08358208955223881,0.025373134328358207,0.0014925373134328358,0.0029850746268656717,0.7112293837463256,0.04880382775119617,2,0.8133971291866028,4.41786283891547,14.19457735247209,1.9138755980861244,6.923076923076923,52,618.9038461538462,5683.0,126.0,840.7423484370852,38,9,0,2,0,3,0
./segment_trees/r1_level1_block/qid_block_completion_000723.json,5,1,4,4,1.0,1,1,1,0.8,1.0,correct,7.9599745280805365,6.2324480165505225,10.604166666666666,1.2391219813278405,11.811023622047244,0.0,9.84251968503937,0.8571428571428571,9.84251968503937,3.937007874015748,0.5,0.020833333333333332,7.283464566929133,11.976047904191617,5.747126436781609,17.857142857142858,5.881094952951241,0.0,0.0,0.0,0.16666666666666666,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.8820789840149995,0.18110236220472442,0,0.39370078740157477,4.52755905511811,9.84251968503937,7.874015748031496,1.2,4,714.25,1105.0,151.0,417.3834168563321,3,0,0,0,0,1,0
./segment_trees/r1_level1_block/qid_block_completion_000689.json,24,2,22,22,1.05,2,1,1,0.9166666666666666,1.0,correct,9.33846969968671,7.5953872788539725,14.595588235294118,1.043617530157303,5.030181086519114,1.006036217303823,1.5090543259557343,0.36363636363636365,4.024144869215292,1.5090543259557343,0.4444444444444444,0.051470588235294115,11.217303822937625,7.062146892655367,4.219409282700422,3.502626970227671,-3.559519922427696,1.4124293785310735,0.0,-1.4124293785310735,0.09558823529411764,0.022058823529411766,0.007352941176470588,0.0,0.6774454028995915,0.0829979879275654,2,1.2575452716297788,9.507042253521128,1.5090543259557343,1.5090543259557343,1.0,23,492.0869565217391,2479.0,16.0,532.2908392499415,7,8,1,1,0,5,1
./segment_trees/r1_level1_block/qid_block_completion_000373.json,68,16,52,42,1.29,3,1,1,0.6176470588235294,1.2380952380952381,incorrect,10.771616922503265,9.136263168579868,14.357032457496135,0.7165938249047966,10.44695745826602,1.5078082929456111,5.708131394722671,0.5510204081632653,6.677436725901992,6.5697361335487345,0.9841269841269841,0.030911901081916538,2.4124932687129776,12.853470437017995,10.749288650015808,7.636122177954848,-5.217348259063147,2.2493573264781492,0.33200531208499334,-1.917352014393156,0.3029366306027821,0.02009273570324575,0.0030911901081916537,0.0,0.2836057726836819,0.035433494884221865,2,0.45234248788368336,5.180398492191707,14.10877759827679,3.8772213247172855,3.5675675675675675,67,708.2388059701492,3248.0,124.0,694.0192139850099,55,5,0,5,0,2,0
./segment_trees/r1_level1_block/qid_block_completion_000666.json,32,9,23,23,1.35,3,1,1,0.71875,1.0,correct,10.11147685607866,8.516192691082654,14.433526011560694,0.651052837441501,6.407689227072487,1.2014417300760913,3.604325190228274,0.5757575757575758,4.60552663195835,8.009611533840609,1.7083333333333333,0.049132947976878616,2.683219863836604,10.321797207043108,4.181600955794504,4.776119402985075,-5.545677804058033,1.2143290831815423,1.1940298507462688,-0.02029923243527354,0.3554913294797688,0.05491329479768786,0.002890173410404624,0.0,0.43091065216963625,0.05326391670004005,3,1.6019223067681216,2.823388065678815,3.8045654785742893,2.2026431718061676,1.6666666666666667,31,792.9677419354839,3577.0,130.0,745.8001288938374,27,2,0,2,0,0,0
